opcode,handler,name,argument_bytes,chip_scope,consumer_effect,return_contract,confidence
0x80,0x5173,SET_TEMPO,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0x9D,0x5535,SET_VOICE,2,YM2151,load 28-byte YM register image plus live TL-transform fields,synthetic return from target-minus-one table; carry reports continuation,Verified
0x9E,0x5613,YM_LOAD_ENV,2,YM2151,read five-byte auxiliary block at operand base+$24,synthetic return from target-minus-one table; carry reports continuation,Verified
0x9F,0x5655,YM_LOAD_REG,2,YM2151,read one-byte auxiliary value at operand base+$29,synthetic return from target-minus-one table; carry reports continuation,Verified
0xA0,0x568A,YM_FREQ_OFFSET,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xA1,0x5715,YM_CARRIER_TL_DELTA,1,YM2151,negate signed operand and apply it to algorithm-selected carrier total levels,synthetic return from target-minus-one table; carry reports continuation,Verified
0xA2,0x56CB,YM_VOL_ENV_NEG,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xA3,0x56AF,YM_VOL_ENV_SUB,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xA4,0x5271,VAR_LOAD,2,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xA5,0x4719,NOP,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xA6,0x5703,YM_SHIFT_LEFT,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xA7,0x56DC,FREQ_ADD,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xA8,0x5711,SET_FREQ_ENV_LOOP,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xA9,0x529E,REG_ADD,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xAA,0x52AA,REG_SUB,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xAB,0x52B4,REG_AND,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xAC,0x52BA,REG_OR,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xAD,0x52C0,REG_XOR,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xAE,0x5320,COND_JUMP_REG_Z,variable,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xAF,0x5347,COND_JUMP_INC,variable,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xB0,0x5375,VAR_STORE,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xB1,0x53C2,VAR_APPLY_YM,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xB2,0x53FB,VAR_CLASSIFY_LOAD,1,both,classify variable into general register,synthetic return from target-minus-one table; carry reports continuation,Verified
0xB3,0x52C6,SHIFT_REG_RIGHT,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xB4,0x52F3,SHIFT_REG_LEFT,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xB5,0x5410,COND_JUMP_EQ,3,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xB6,0x5417,COND_JUMP_NE,3,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xB7,0x541E,COND_JUMP_PL,3,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xB8,0x5425,COND_JUMP_MI,3,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xB9,0x5401,REG_CLASSIFY_SUB,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
0xBA,0x5404,REG_SUB_STORE,1,chip-dependent,see canonical opcode semantics,synthetic return from target-minus-one table; carry reports continuation,Verified
