address,entry_kind,entry_source,semantic_owner,contract_catalog,contract_entry,role,entry_contract,exits,clobbers,reads,writes,interrupt_safety,configured_reachability,contract_confidence,status
0x42C6,list_follow_entry,known_entry,control_plane,control_plane,0x42C6,pop one nonterminal record ID from free list,$14=head ID,RTS A=allocated ID; A=0 if only terminal record remains,"A,Y,P;$0E;$15-$16",$14;record next,$14,caller-governed reset/IRQ helper; shared mutations are serialized by enclosing caller,bytecode repeat/call contexts,Verified,complete
0x42D7,callable_subroutine,0x4299;0x42C8;0x4300,control_plane,control_plane,0x42D7,map record ID A to $093D+4*(A-1),A=record ID,"RTS A preserved, Y=0, pointer in $15-$16","Y,P;$0E;$15-$16",none,$0E;$15-$16,caller-governed reset/IRQ helper; shared mutations are serialized by enclosing caller,pool helpers,Verified,complete
0x42F9,callable_subroutine,0x45F1;0x4820,control_plane,control_plane,0x42F9,splice both channel-owned context chains back onto free-list head,X=logical channel,"RTS with $06D8,X=$06BA,X=0","A,Y,P;$0E;$14-$16","$06D8,X;$06BA,X;context links;$14","$06D8,X;$06BA,X;context links;$14",caller-governed reset/IRQ helper; shared mutations are serialized by enclosing caller,replacement/termination,Verified,complete
0x432E,callable_subroutine,0x413C,control_plane,control_plane,0x432E,validate command/type and synthesize RTS dispatch through target-minus-one table,Y=command,invalid RTS; valid returns into one of 15 handlers with A=parameter,"A,X,P;Y preserved","$5DEA,Y;$5EC5,Y;$4633-$4650",stack,main-loop command context; IRQ may preempt except during explicit PHP/SEI critical sections,all main-loop commands,Verified,complete
0x4347,table_dispatch_entry,handler_table_type_0,control_plane,control_plane,0x4347,set global speech/filter threshold to parameter*4,A=parameter,RTS,"A,P",none,$13,main-loop command context; IRQ may preempt except during explicit PHP/SEI critical sections,2 commands,Verified,complete
0x434C,table_dispatch_entry,handler_table_type_1,control_plane,reserved_handler,0x434C,set workspace variable from sliding support pair,A=handler parameter; Y=A,RTS,"A,X,Y,P as implied by exact semantic row","$6559,Y selector low nibble; $655A,Y value",$18+(selector&$0F) = value,configured dormant; hypothetical main-loop handler context; routine-local atomicity is catalogued,No configured command; support bytes $6559-$655E are all zero,Verified semantics and configured dormancy; original provenance Unknown,complete
0x4359,table_dispatch_entry,handler_table_type_2,control_plane,reserved_handler,0x4359,add sliding support-pair value to workspace variable,A=handler parameter; Y=A,RTS,"A,X,Y,P as implied by exact semantic row","$6559,Y selector low nibble; $655A,Y value; selected $18-$27 byte",$18+(selector&$0F) += value modulo 256,configured dormant; hypothetical main-loop handler context; routine-local atomicity is catalogued,No configured command; support bytes $6559-$655E are all zero,Verified semantics and configured dormancy; original provenance Unknown,complete
0x4369,table_dispatch_entry,handler_table_type_3,control_plane,control_plane,0x4369,secondary target-minus-one dispatch,A=parameter,returns into selected target,"A,Y,P",$5FA0+2*A,stack,main-loop command context; IRQ may preempt except during explicit PHP/SEI critical sections,command $00 -> $41E6,Verified,complete
0x4374,table_dispatch_entry,handler_table_type_4,control_plane,reserved_handler,0x4374,soft-kill logical channels by encoded status class,A=status-class selector,RTS,"A,X,Y,P as implied by exact semantic row","$0390,Y for Y=29..0","$0228,Y=$FF where (($0390,Y>>2) XOR A)==0; interrupt-atomic",configured dormant; hypothetical main-loop handler context; routine-local atomicity is catalogued,No configured command; no support table,Verified semantics and configured dormancy; original provenance Unknown,complete
0x438D,table_dispatch_entry,handler_table_type_5,control_plane,control_plane,0x438D,stop active channels matching a target type-7 parameter,A=target command,RTS,"A,Y,P",$5DEA;$5EC5;$0228,$0228=$FF,main-loop command context; IRQ may preempt except during explicit PHP/SEI critical sections,commands $21/$2F/$39,Verified,complete
0x43AF,table_dispatch_entry,handler_table_type_6,control_plane,reserved_handler,0x43AF,soft-kill every node in a selected physical-list chain,A high nibble selects $57AE index; low nibble offsets returned list head,RTS,"A,X,Y,P as implied by exact semantic row","$57AE,A>>4; $07E6 list links","$0228,node=$FF for every linked logical channel; interrupt-atomic",configured dormant; hypothetical main-loop handler context; routine-local atomicity is catalogued,"No configured command, so $57AE index/offset domain is empty",Verified semantics and configured dormancy; original provenance Unknown,complete
0x43D4,table_dispatch_entry,handler_table_type_9,control_plane,control_plane,0x43D4,fade channels matching target type-7 parameter,A=target command,RTS,"A,Y,P",$5DEA;$5EC5;$0228,$0714/$0732/$0750/$076E/$078C;$0228=$FE,main-loop command context; IRQ may preempt except during explicit PHP/SEI critical sections,command $3C,Verified,complete
0x440B,table_dispatch_entry,handler_table_type_10,control_plane,control_plane,0x440B,fade logical channels matching status class,A=status class,RTS,"A,Y,P",$0390,$0714/$0732/$0750/$076E/$078C;$0228=$FE,main-loop command context; IRQ may preempt except during explicit PHP/SEI critical sections,command $41,Verified,complete
0x4439,table_dispatch_entry,handler_table_type_11,control_plane,control_plane,0x4439,priority-gate speech then tail to start/queue routine,A=speech parameter,$5932 if priority >= $13; otherwise RTS,"X,Y,P",$64CC;$13,speech state via $5932,main-loop command context; IRQ may preempt except during explicit PHP/SEI critical sections,141 speech commands,Verified,complete
0x4445,table_dispatch_entry,handler_table_type_8,control_plane,control_plane,0x4445,enqueue one byte to 16-byte sound-to-main ring,A=output byte,RTS; on full ring set overflow flag,"A,Y,P",$0224-$0225,$0214-$0223;$0225 or $0226=$80,main-loop command context; IRQ may preempt except during explicit PHP/SEI critical sections,command $DA,Verified,complete
0x4461,table_dispatch_entry,handler_table_type_12,control_plane,reserved_handler,0x4461,apply a safe bytecode operation to matching active channels,A indexes sliding $655B-$655E fields,tail $5059/$506F then RTS,"A,X,Y,P as implied by exact semantic row",$655B opcode offset; $655C argument; $655D target command; $655E physical offset,validate target is type 7; traverse head $1E+offset; dispatch opcode $80-$87/$8A-$8C/$92-$95/$99-$BA with A=argument,configured dormant; hypothetical main-loop handler context; routine-local atomicity is catalogued,No configured command; zero support bytes fail target-type validation,Verified semantics and configured dormancy; original provenance Unknown,complete
0x44A8,table_dispatch_entry,NMI_direct_table_query_7,control_plane,control_plane,0x44A8,"send error byte, then arm bits 2 and 0 before common NMI restore",synthesized NMI direct dispatch for command $07,tail $44BD; RTI,interrupted registers restored by tail,$02;$1030,$1000;$02|=$05,NMI direct-query context; selected path restores interrupted state before RTI,NMI command $07,Verified,complete
0x44B8,table_dispatch_entry,NMI_direct_table_query_6,control_plane,control_plane,0x44B8,send fixed $DB response before common NMI restore,synthesized NMI direct dispatch for command $06,fall $44BD; RTI,interrupted registers restored by fallthrough,$1030,$1000,NMI direct-query context; selected path restores interrupted state before RTI,NMI command $06,Verified,complete
0x44C8,callable_subroutine,0x44AA;0x44BA,control_plane,control_plane,0x44C8,"wait for output latch empty, send A, then wait for main CPU acceptance",JSR with A=response byte,RTS with A preserved,P(N/Z);A/X/Y preserved,$1030 bit 6,$1000,NMI direct-query context; selected path restores interrupted state before RTI,NMI queries $03/$06/$07,Verified,complete
0x44DE,table_dispatch_entry,handler_table_type_7,control_plane,control_plane,0x44DE,load first record and optionally reject duplicate active parameter,A=type-7 parameter,continue $44FD; optional RTS duplicate guard,"A,X,Y,P;$03",$5FA8;$5FE6;$0228;$0390,$03,main-loop command context; IRQ may preempt except during explicit PHP/SEI critical sections,62 type-7 parameters; all flags $FF bypass duplicate guard,Verified,complete
0x4618,table_dispatch_entry,handler_table_type_14,control_plane,reserved_handler,0x4618,null handler,none,RTS,"A,X,Y,P as implied by exact semantic row",none,none,configured dormant; hypothetical main-loop handler context; routine-local atomicity is catalogued,No configured command; deliberately inert,Verified semantics and configured dormancy; original provenance Unknown,complete
0x4619,table_dispatch_entry,handler_table_type_13,control_plane,control_plane,0x4619,split mixer byte into speech/effects/music shadows,A=mixer parameter,RTS; defer $1020 write while speech state overlaps,"A,P",$2F,$28-$29;$1020 conditionally,main-loop command context; IRQ may preempt except during explicit PHP/SEI critical sections,commands $D6-$D9,Verified,complete
0x4651,callable_subroutine,known_sequence_update_entry,channel_engine,channel_engine,0x4651,logical-channel update entry,$4D36;$4D84;$4E7A; X=logical channel 0..29; $081C=physical-list head index,tail $4809/$49A5/$4B45; continue $4698,"A,Y,P; X advances only in shared suffix","$07E6,X;$0390,X;$0228,X;$0246/$0264,X;$02BE/$02DC,X;$05CA,X","$17;$0813;$0811-$0812;$06-$07;$082F;$02BE/$02DC,X",IRQ audio-service context; CPU I flag set,verified CPU entry source: known_sequence_update_entry,Verified,complete
0x4B6B,callable_subroutine,0x46F7;0x4931,support_staging,support_staging,0x4B6B,load signed ramp and choose default or event-derived service rate,X=logical channel; $11=current event/control byte,fall $4B8D,"A,Y,P;$0E-$0F; saves original $11 on stack",$0750/$076E;$05AC;$5C73-$5C74,$0516/$0534 conditionally,IRQ audio-service context; CPU I flag set,fade commands $3C/$41 and active ramp states,Verified,complete
0x4C16,callable_subroutine,0x4713;0x493D,support_staging,support_staging,0x4C16,"for final physical-list winner, stage control, four base TLs, and live TL-transform bytes",X=YM logical channel; A=event flags; $17=0 only for final/winning list member,fall $4C69,"A,Y,P;$0E-$0F; X preserved",$0426/$0444/$0462/$0480 as M1/M2/C1/C2 TL;$03CC/$03EA;$049E;voice+$1D..+$23,$0826-$082F;$083D registers $60/$68/$70/$78+channel,IRQ audio-service context; CPU I flag set,winning YM channel; suppressed for preceding list members,Verified,complete
0x4D02,callable_subroutine,known_pokey_mix_entry,physical_output,physical_output,0x4D02,POKEY physical-pair staging and status-lane arbitration,$4E0F;$4E36; Y=lower-numbered physical-list-head offset 30 or 32; $08-$09=POKEY base,RTS $4DD3 if status-bit-0 lane 1 wins/ties and selects joined mode; RTS $4DFB if independent lane 0 wins,"A,X,Y,P","$07E6,Y;$13;$0811-$0825;logical lists via $4651",$0811-$0825;$081C;channel arrays through $4651,IRQ audio-service context; CPU I flag set,verified CPU entry source: known_pokey_mix_entry,Verified,complete
0x4DFC,tail_jump_entry,0x5023,physical_output,physical_output,0x4DFC,POKEY four-channel update and register writes,$500D for hardware type 0; X=dispatcher index 0; $08-$09=$1800; $57AE=$1E,RTS $4E67,"A,X,Y,P","$57AE,X;$0817-$0825","POKEY AUDF/AUDC pairs and AUDCTL through ($08),Y",IRQ audio-service context; CPU I flag set,verified CPU entry source: 0x5023,Verified,complete
0x4E68,callable_subroutine,0x4FE4,physical_output,physical_output,0x4E68,one YM2151 channel update,$4FE4; Y=physical-list head 34..41; $083C=YM channel 0..7,early RTS $4E6D/$4E81/$4ED3/$4ED8; RTS $4FD5,"A,X,Y,P","$07E6,Y;$17;$0812;$0819;$0826-$082F;$083C-$089F;$57A0-$57A7;$72DC-$73DB;$5B5B-$5C5A","YM registers $08,$20-$3F,$60-$7F; shadows $083D+Y;$0810-$0813;$0C-$0F;$10-$11",IRQ audio-service context; CPU I flag set,verified CPU entry source: 0x4FE4,Verified,complete
0x4FD6,tail_jump_entry,0x5026,physical_output,physical_output,0x4FD6,iterate eight YM2151 channels,$500D for hardware type 2; X=dispatcher index 1; $57AF=$22,RTS $4FEF,"A,Y,P; X clobbered transitively","$57AE,X",$083C and per-channel effects from $4E68,IRQ audio-service context; CPU I flag set,verified CPU entry source: 0x5026,Verified,complete
0x4FF0,callable_subroutine,0x425E;0x426A;0x4272;0x4279;0x428A;0x4E89;0x4E9C;0x4EAF;0x4EC2;0x4EE6;0x4F92;0x4F99;0x4FC4,physical_output,physical_output,0x4FF0,YM2151 busy wait with sticky timeout,all YM register writers; Y=YM register number; A preserved unless timeout already sticky,RTS $500C,P; A preserved on normal first call,$0D;$1811;$02,$0D on timeout;$02 bit 1,IRQ audio-service context; CPU I flag set,verified CPU entry source: 0x425E;0x426A;0x4272;0x4279;0x428A;0x4E89;0x4E9C;0x4EAF;0x4EC2;0x4EE6;0x4F92;0x4F99;0x4FC4,Verified,complete
0x500D,callable_with_tail_exits,0x41D8;0x41E0,physical_output,physical_output,0x500D,select hardware base/type and tail-dispatch,$41D8;$41E0; X=phase index 0 or 1,tail $4DFC for type 0; tail $4FD6 otherwise,"A,Y,P; X passed/clobbered","$57A8-$57AD,X",$08-$09;$081D,IRQ audio-service context; CPU I flag set,verified CPU entry source: 0x41D8;0x41E0,Verified,complete
0x5029,callable_indirect_dispatcher,0x472D,bytecode_engine,bytecode_callable,0x5029,opcode/end dispatcher,A=current stream byte; X=logical channel; Y=current stream offset; ($06) is stream base,"end >=$BB: mark $0228,X=$FF and CLC/RTS; opcode: increment Y, push target-minus-one, load first operand, SEC/RTS into handler","A,Y,P;$11;X restored before synthetic dispatch","($06),Y;$507B-$50F0","$0228,X;$11;stack",IRQ channel-service context; CPU I flag already set,all configured type-7 streams,Verified,complete
0x5047,callable_subroutine,known_sequence_read_helper,bytecode_engine,bytecode_callable,0x5047,advance/read sequence helper,X=logical channel; Y=operand cursor; ($06) is current stream base,RTS with A=next byte; Y incremented; C reports low-pointer wrap,"A,Y,P","$0246-$0264,X;($06),Y","$0246-$0264,X",caller-governed; used from IRQ bytecode service,configured opcode operand loaders,Verified,complete
0x5059,tail_jump_entry,0x44A3,bytecode_engine,bytecode_callable,0x5059,active-command chain search and safe opcode apply,X=index of physical-list head; $0830=target command; Y=opcode-table byte offset; $0831=operand,RTS after no match or after every matching handler returns,"A,X,Y plus selected handler; caller P restored",$07E6;$0228;$0830-$0831;$507B-$50F0,selected handler effects;stack,PHP/SEI protects full traversal and handler application; PLP restores caller P,only dormant handler type 12 reaches this entry,Verified,complete
0x506F,callable_indirect_dispatcher,0x506A,bytecode_engine,bytecode_callable,0x506F,safe bytecode handler dispatcher,X=matching logical channel; Y=even target-table byte offset; $0831=operand,push target-minus-one and synthesize return into selected handler; selected handler returns to caller,"A,P plus selected handler;X/Y caller-dependent",$507B-$50F0;$0831,stack plus selected handler effects,called inside $5059 interrupt-masked critical section,only dormant handler type 12 reaches this entry,Verified,complete
0x5181,callable_with_tail_exit,0x4C0D,bytecode_engine,bytecode_callable,0x5181,apply signed channel-volume delta,A=signed delta; X=logical channel,"POKEY: add to $0408,X and SEC/RTS; YM: tail $5715 carrier-TL application","A,Y,P;$0E-$0F;$11;X preserved on YM tail","$081D;$0408,X plus $5715 inputs","$0408,X or algorithm-selected YM TL bases",IRQ channel-service context; CPU I flag already set,active fade/ramp path; also ADD_VOLUME shared suffix,Verified,complete
0x5444,callable_subroutine,0x53FB;0x5401;0x5410;0x5417;0x541E;0x5425,bytecode_engine,bytecode_callable,0x5444,variable classifier,A=classifier index; X=logical channel; Y=caller value to preserve,RTS with classified byte in A and original Y restored; YM index 0 deliberately preserves incoming A,"A,P;$11;X/Y preserved",$081D;$0408;$049E;$05CA;$05E8;$18-$27;$180A;$07C8,$11 scratch,IRQ bytecode-service context; CPU I flag already set,all configured compare/classify opcodes,Verified,complete
0x558F,callable_subroutine,0x483B,bytecode_engine,bytecode_callable,0x558F,YM voice register-image loader,X=logical channel with voice pointer in $04DA/$04F8; $17=0 only for physical-list winner,"nonwinner/non-YM RTS unchanged; winner writes 28-byte image, restores X, SEC/RTS","A,Y,P;$0C-$0F;$11;X preserved",$17;$081D;$04DA-$04F8;28 bytes through ($0E);$083C,$03CC/$03EA;YM $20/$40-$E0 banks;$083D shadows;$02 on timeout,IRQ channel-service context; CPU I flag already set,configured SET_VOICE operations; hardware writes only for YM winners,Verified,complete
0x5676,callable_subroutine,0x562C;0x5631;0x5636;0x563B;0x566F,bytecode_engine,bytecode_callable,0x5676,winner-gated indirect YM register writer,"X=YM register selector; ($0E),Y=next value; $17=0 only for winner","suppressed RTS without consuming Y; winner waits, writes/shadows byte, increments Y, RTS","A,Y,P;X preserved","$17;($0E),Y;$1811","$1810-$1811;$083D,X;$02 on timeout",IRQ bytecode-service context; CPU I flag already set,configured $9E/$9F YM auxiliary loaders,Verified,complete
0x5715,tail_jump_entry,0x5188,bytecode_engine,bytecode_callable,0x5715,YM carrier total-level delta application,A=signed operand to negate; X=logical YM channel,non-YM RTS; YM saturating-adds negated delta to carrier TL bases selected by algorithm and SEC/RTS,"A,Y,P;$0E-$0F;$11;X preserved","$081D;$04BC,X;$57A0-$57A7;$0426/$0444/$0462/$0480",$0426/$0444/$0462/$0480 carrier-selected entries,IRQ bytecode-service context; CPU I flag already set,31 configured opcode $A1 operations plus ADD_VOLUME/SET_VOLUME/fade tails,Verified,complete
0x5755,tail_jump_entry,0x51A0,bytecode_engine,bytecode_callable,0x5755,YM operator-TL base reload,A=SET_VOLUME low-nibble selector; X=logical channel with voice pointer,fade status $FE: CLC/RTS; otherwise reload four base TLs and tail $5715 with signed attenuation table value,"A,Y,P;$0C;$0E-$0F;X preserved;stack balanced",$0228;$04DA-$04F8;voice offsets 5/11/17/23;$5790-$579F,$0426/$0444/$0462/$0480 plus $5715 effects,IRQ bytecode-service context; CPU I flag already set,YM SET_VOLUME and shared reload suffix,Verified,complete
0x57B0,vector_entry,NMI_vector,nmi_protocol,nmi_entry,0x57B0,sound-command NMI entry and mode dispatcher,NMI vector; CPU frame stacked; command interface may hold one byte at $1010,all ordinary paths converge on $5820 RTI; direct queries synthesize a handler that also ends in RTI,none architecturally after RTI; transient A/X/Y/P and stack,$1030;$0212-$0213;$04-$05;$1010;$0210-$0211;$5D0F;$5FA2-$5FA7,$04-$05;$0210-$0213;$0200-$020F;optional indirect RAM;stack;direct-handler effects,NMI context; command latch serializes delivery; normal queue path saves/restores A/X/Y,boot mode 0 conditional; modes 1-$FE have no ROM writer; normal $FF always after initialization,Verified mechanics; boot sender intent Unknown,complete
0x582D,nmi_indirect_dispatcher,0x582A,nmi_protocol,nmi_entry,0x582D,synthesize direct NMI query-handler return,normal NMI path; Y=2*validation code for direct query 0..2; interrupted A/X/Y already saved,push target-minus-one from $5FA2 and RTS into query handler; handler tail restores registers and RTI,"transient A,P and stack; interrupted registers restored by selected handler","$5FA2-$5FA7,Y",stack plus selected query effects,NMI-only synthesized dispatch; inherits serialized command-latch transaction,commands $03/$06/$07 through validation codes 0/1/2,Verified,complete
0x5833,callable_subroutine,0x40EC,speech_lifecycle,speech_lifecycle,0x5833,initialize/reset speech state with dummy stream,boot;$58BE watchdog tail-jump; interrupt state preserved with PHP/SEI/PLP,RTS $5873,"A,Y,P",$34;$1031;$00,$0832-$0833;$34;$1031-$1033;$30;$2B-$2F;$33,IRQ service or main-command context; queue mutations use explicit PHP/SEI serialization,verified CPU entry source: 0x40EC,Verified,complete
0x5894,callable_and_tail_jump_entry,0x41C8;0x41CB;0x41CE;0x41DB;0x41E3,speech_lifecycle,speech_lifecycle,0x5894,scheduled TMS5220 reset pulse,IRQ audio update calls four times; $33 nonzero is frame deadline,RTS $58AA or continue $58AB,"A,P",$33;$00,$1032 at deadline-minus-8;$33 at deadline,IRQ service or main-command context; queue mutations use explicit PHP/SEI serialization,verified CPU entry source: 0x41C8;0x41CB;0x41CE;0x41DB;0x41E3,Verified,complete
0x5932,tail_jump_entry,0x4441;0x58F6,speech_lifecycle,speech_lifecycle,0x5932,"start immediately if idle, otherwise enqueue",type-11 handler $4439; opcode $9A; A=parameter; X=priority from $64CC for command path,fallthrough $5939 or tail $59E2,"Y,P",$2F,none,IRQ service or main-command context; queue mutations use explicit PHP/SEI serialization,verified CPU entry source: 0x4441;0x58F6,Verified,complete
0x59E2,tail_jump_entry,0x5936,speech_lifecycle,speech_lifecycle,0x59E2,atomic seven-item priority queue insertion into eight physical slots,$5936 and busy speech requests; A=parameter; X=incoming priority,"RTS $5A0A; full is rejected before priority comparison; otherwise reject lower, append equal, or flush/append higher","A,Y,P",$0832-$0833;$35,$0832 on higher-priority flush;$0833;$0834-$083B;$35,IRQ service or main-command context; queue mutations use explicit PHP/SEI serialization,verified CPU entry source: 0x5936,Verified,complete
0x5A0B,callable_subroutine,0x40CD,initialization_main,initialization_main,0x5A0B,write fixed board-interface startup sequence,called once by common initialization at $40CD,RTS,"A,P",none,$1003=$FF;$1002=$33;$100B=$00;$100C=$22;$1000=$0F,RESET/diagnostic/main context; interrupt state is part of the entry contract,verified CPU entry source: 0x40CD,Verified writes; board-level purpose Unknown,complete
0x5A25,vector_entry,RESET_vector,initialization_main,initialization_main,0x5A25,"wait for board status bits 7..6 to equal $80, then enter RESET body",RESET vector,tail $4002 once ($1030 & $C0)==$80; otherwise spin at $5A2C,"A,P",$1030,none,RESET/diagnostic/main context; interrupt state is part of the entry contract,verified CPU entry source: RESET_vector,Verified,complete
0x8381,callable_subroutine,0x41BF,board_control,board_control,0x8381,select active-low self-test input state,IRQ $41C4; called once per normal IRQ,self-test-active $8388 or normal/inactive $83AC,"A,P",$1030 bit 4,none,IRQ board-service context; CPU I flag set,verified CPU entry source: 0x41BF,Verified,complete
0x843F,table_dispatch_entry,NMI_direct_table_query_3,board_control,board_control,0x843F,return cached input/event byte to main CPU,NMI direct-dispatch table query 3; $44 is the four-field board-input/event cache,JSR $44C8 then tail $581E NMI restore,"A,P plus $44C8",$44;$1030,$1000;$02,NMI direct-query context; interrupted state restored by common NMI tail,verified CPU entry source: NMI_direct_table_query_3,Verified,complete
