path,range,branch_assumptions,software_cycles,cycles_including_irq_entry,microseconds_at_1_789772625_MHz,scope,confidence
IRQ_POKEY_initial_decode_common,$4187->$41C8->$500D/$5894->$8381,$2A=0; command $44 initial decode; four READY-idle speech calls; quiescent board,2905,2912,1623.1112038603228,complete path; 38.998% of IRQ interval including entry,Verified representative complete IRQ
IRQ_POKEY_initial_decode_rotate,$4187->$41C8->$500D/$5894->$8381,same initial decode on delta-rotation phase,2924,2931,1633.7270774828173,complete path; 39.253% of IRQ interval including entry,Verified representative complete IRQ
POKEY_channel_both_envelopes_common,$4651-$4B6A,command $44 second service; frequency/volume countdowns 2->1; REST secondary timer also expires; $00&6!=0,510,,284.9523972353751,148 instructions executed from the initial-decode post-state,Verified instruction-executed trajectory
POKEY_channel_both_envelopes_rotate,$4651-$4B6A,same second service on $00&6=0 delta-rotation phase,529,,295.56827085786944,152 instructions; both envelopes advance without record reload,Verified instruction-executed trajectory
POKEY_pair_both_envelopes_common,$4D02-$4DFB,second command $44 service in first member; second empty; first wins,785,,438.6031996662146,complete pair including instruction-executed $4651 call,Verified representative pair path
POKEY_pair_both_envelopes_rotate,$4D02-$4DFB,same pair on delta-rotation phase,804,,449.21907328870896,complete pair consumer,Verified representative pair path
POKEY_both_envelopes_full_common,$500D->$4DFC->$4D02,command $44 second service; other heads empty,1148,,641.4222588749227,dispatch + mixed-carry wrapper + envelope/secondary-expiry pair + empty pair,Verified representative full-device path
POKEY_both_envelopes_full_rotate,$500D->$4DFC->$4D02,same second service on delta-rotation phase,1167,,652.0381324974171,selected full-device trajectory,Verified representative full-device path
IRQ_POKEY_both_envelopes_common,$4187->$41C8->$500D/$5894->$8381,$2A=0; command $44 second service; four READY-idle speech calls; quiescent board,1778,1785,993.4222789892096,complete path; 23.905% of IRQ interval including entry,Verified representative complete IRQ
IRQ_POKEY_both_envelopes_rotate,$4187->$41C8->$500D/$5894->$8381,same second service on delta-rotation phase,1797,1804,1004.0381526117039,complete path; 24.160% of IRQ interval including entry,Verified representative complete IRQ
POKEY_channel_envelope_boundary_common,$4651-$4B6A,command $44 third service; frequency and volume load continuing count-$12 records; unclamped; $00&6!=0,557,,311.2127161962822,163 instructions; frequency zero delta does not terminate because A retains count $12,Verified instruction-executed trajectory
POKEY_channel_envelope_boundary_rotate,$4651-$4B6A,same third service on $00&6=0 delta-rotation phase,576,,321.8285898187766,167 instructions; both records continue,Verified instruction-executed trajectory
POKEY_pair_envelope_boundary_common,$4D02-$4DFB,third command $44 service in first member; second empty; first wins,832,,464.8635186271217,complete pair including record-reload $4651 call,Verified representative pair path
POKEY_pair_envelope_boundary_rotate,$4D02-$4DFB,same pair on delta-rotation phase,851,,475.479392249616,complete pair consumer,Verified representative pair path
POKEY_envelope_boundary_full_common,$500D->$4DFC->$4D02,command $44 selected record boundary; other heads empty,1195,,667.6825778358298,dispatch + wrapper + boundary pair + empty pair,Verified representative full-device path
POKEY_envelope_boundary_full_rotate,$500D->$4DFC->$4D02,same state on delta-rotation phase,1214,,678.2984514583242,selected boundary full-device path,Verified representative full-device path
IRQ_POKEY_envelope_boundary_common,$4187->$41C8->$500D/$5894->$8381,$2A=0; command $44 third service; four READY-idle speech calls; quiescent board,1825,1832,1019.6825979501168,complete path; 24.535% of IRQ interval including entry,Verified representative complete IRQ
IRQ_POKEY_envelope_boundary_rotate,$4187->$41C8->$500D/$5894->$8381,same third service on delta-rotation phase,1844,1851,1030.298471572611,complete path; 24.789% of IRQ interval including entry,Verified representative complete IRQ
POKEY_channel_frequency_FF_loop_common,$4651-$4B6A,command $05 channel 2; $68F3 frequency offset 5/countdown 1; fresh loop count; prepared nonzero pitch; timers nonnegative; $00&6!=0,505,,282.15874628208707,"145 instructions; `$FF FF 06` rewinds base $68F3->$68ED, loads repeat $FF, and reloads count $FC",Verified instruction-executed loop-control path
POKEY_channel_frequency_FF_loop_rotate,$4651-$4B6A,same configured loop boundary on $00&6=0 delta-rotation phase,524,,292.7746199045814,149 instructions; full pair/device IRQ composition depends on the other three command-$05 channels,Verified instruction-executed loop-control path
POKEY_command05_initial_full_common,$500D->$4DFC->$4D02->$4651,fresh four-record allocation in slots 29..26 and heads $1E..$21; all four initial setup/REST decodes; $00=3/5/7,6874,,3840.71133058033,"1,978 instructions including both active pairs, arbitration, and all POKEY writes",Verified instruction-executed full-device path
POKEY_command05_initial_full_rotate,$500D->$4DFC->$4D02->$4651,same fresh allocation; $00=1 executes all four delta-rotation blocks,6950,,3883.174825070307,"1,994 instructions; complete four-channel device service",Verified instruction-executed full-device path
IRQ_POKEY_command05_initial_common,$4187->$41C8->$500D/$5894->$8381,$2A=0; four READY-idle speech calls; quiescent board; command $05 initial service; $00=3/5/7,7504,7511,4192.711350694616,"7,511 cycles including entry, 44 above the 7,467-cycle nominal interval",Verified composition; level-IRQ consequence from MAME source
IRQ_POKEY_command05_initial_rotate,$4187->$41C8->$500D/$5894->$8381,same initial command $05 service at $00=1,7580,7587,4235.174845184594,"7,587 cycles including entry, 120 above nominal interval",Verified composition; level-IRQ consequence from MAME source
POKEY_command05_1000_service_later_max,$500D->$4DFC->$4D02->$4651,"maximum after initial service across four phase alignments and 1,000 POKEY services each; update 193 at $00=1; two channels active",4201,,2347.2255309525704,"bounded trajectory result; not a proof beyond 1,000 services",Verified bounded instruction-executed trace
IRQ_POKEY_command05_1000_service_later_max,$4187->$41C8->$500D/$5894->$8381,"compose bounded later maximum with idle mixer, READY-idle speech, and quiescent board",4831,4838,2699.225551066857,"4,838 cycles including entry; each alignment has exactly one overrun, at initial decode",Verified bounded composition
YM_busy_sticky_return,$4FF0-$500C,$0D bit 7 already set,12,,6.704762287891178,BIT/BMI/RTS; no hardware-status read,Verified
YM_busy_ready_immediate,$4FF0-$500C,$0D clear; first $1811 status read ready,29,,16.203175529070347,includes RTS; A preserved,Verified
YM_busy_one_poll_then_ready,$4FF0-$500C,"$0D clear; one busy status read, then ready",42,,23.466668007619123,29 + 13*n cycles for n=1 busy polls,Verified representative path
YM_busy_254_polls_then_ready,$4FF0-$500C,"$0D clear; 254 busy reads, then ready",3331,,1861.1302650804596,largest non-timeout path; 29 + 13*n cycles,Verified boundary path
YM_busy_timeout,$4FF0-$500C,$0D clear; 255 consecutive busy reads,3347,,1870.0699481309812,sets sticky $0D negative and error flag $02 bit 1,Verified boundary path
YM_active_prepared_ready,$4E82-$4FD5,all write/pitch/key gates enabled; four operators selected; unclamped arithmetic; indexed lookups do not page-cross; all 14 busy checks ready immediately,1351,,754.8444875784152,starts after $4651 prepared state; includes 14 JSR/RTS busy checks and all YM writes,Verified representative active-output path
YM_active_prepared_first_timeout,$4E82-$4FD5,same active path; first busy check times out; 13 later checks take sticky return,4448,,2485.231888044997,timeout adds 3318 cycles; each later sticky return saves 17,Verified representative timeout path
YM_active_prepared_last_timeout,$4E82-$4FD5,same active path; first 13 checks ready; final check times out,4669,,2608.711260180326,largest single-timeout placement on this path,Verified boundary path
YM_active_prepared_254_each,$4E82-$4FD5,same active path; every one of 14 checks sees 254 busy polls then ready,47579,,26583.823741297863,non-timeout stress bound; not asserted to be hardware-realistic,Verified arithmetic bound
speech_ready_idle_empty_queue,$5894-$5931,$33=0; READY; $2F=0; read=write,76,,42.463494489977464,"24 instructions including page-crossing BEQ $58E7->$5926, RTS, and zero data/strobe write",Verified instruction-executed path
speech_ready_speak_external,$5894-$5931,$33=0; READY; $2F=$80,78,,43.58095487129266,26 instructions; writes $60 and strobes,Verified instruction-executed path
speech_ready_stream_byte,$5894-$5931,$33=0; READY; $2F=$FF; pointer does not wrap; low length remains nonzero,83,,46.374605824580655,25 instructions; writes one payload byte and strobes,Verified instruction-executed path
speech_ready_drain_zero,$5894-$5931,$33=0; READY; $2F=$11..$01,76,,42.463494489977464,24 instructions; decrements drain state and writes/strobes zero,Verified instruction-executed path
speech_not_ready_watchdog_arm,$5894-$5931,$33=0; not READY; $30=$FF; either $00 parity,43,,24.025398198276722,sets $30=ceil($00/2)+$10; even/odd targets differ by one,Verified instruction-executed path
speech_not_ready_watchdog_wait,$5894-$5931,$33=0; not READY; nonnegative $30 does not equal $00>>1,38,,21.231747244988732,returns without write or watchdog reset,Verified instruction-executed path
speech_not_ready_watchdog_expiry,$5894->$5833-$5873,$33=0; sustained not READY; $30 equals $00>>1,127,,70.95873421351497,tail-resets speech state and hardware control; occurs after 32/33 IRQ intervals,Verified instruction-executed path
